ProspectiveBuyerKey,FirstName,LastName,Age,MaritalStatus,Gender,AnnualIncome,TotalChildren,ChildrenAtHomeCount,EducationLevel,WorkClass,HomeOwnership,CarsOwned,City,StateProvinceCode,PostalCode,Unknown
261,Inga,Johnson,65,M,F,20000,4,0,High Schoo,Skilled Manual,1,2,Birmingham,IA,51964,5
262,Erika,Anderson,53,M,F,10000,1,0,Partial Co,Manual,1,0,Fort Wayne,MT,59757,3
263,Ella,Carlson,73,M,F,60000,3,0,Graduate D,Management,1,2,San Carlos,ND,58194,4
264,Inga,Larson,46,S,F,110000,3,2,Bachelors,Management,1,4,Bellingham,MN,55844,1
265,Erik,Carlson,31,M,M,40000,0,0,High Schoo,Skilled Manual,0,2,Colma,ND,58432,4
266,Katrin,Anderson,35,S,F,50000,0,0,High Schoo,Skilled Manual,0,2,Lemon Grove,ND,58218,4
267,Sven,Larson,41,M,M,10000,2,2,High Schoo,Manual,0,1,Campbellsville,MT,59374,0
268,Inga,Olson,38,M,F,40000,2,2,Partial Co,Clerical,1,0,Concord,ND,58435,4
269,Erik,Johnson,50,S,M,100000,0,3,Partial Co,Professional,0,2,Colma,ND,58069,4
270,Ingrid,Johnson,64,S,F,50000,5,0,Bachelors,Management,1,4,Imperial Beach,ND,58802,4
271,Erik,Anderson,33,M,M,50000,1,1,Graduate D,Skilled Manual,1,0,Savannah,WY,82047,5
272,John,Anderson,37,M,M,10000,0,0,Partial Hi,Manual,1,2,Chula Vista,ND,58710,4
273,Ole,Hanson,45,M,M,30000,2,2,Partial Co,Clerical,1,1,Torrance,ND,58162,4
274,Erik,Carlson,36,M,M,60000,0,0,Partial Co,Professional,1,2,Edmonds,MN,55233,1
275,Ingrid,Carlson,48,M,F,30000,3,0,High Schoo,Skilled Manual,1,2,Daly City,ND,58228,4
276,Katrin,Larson,47,S,F,60000,3,2,Bachelors,Professional,0,2,Bellflower,ND,58784,4
277,Erik,Olson,51,S,M,20000,2,0,Partial Co,Manual,1,1,Colma,ND,58344,4
278,Ole,Johnson,53,M,M,20000,2,1,Partial Hi,Clerical,0,2,Sedro Woolley,MN,56458,1
279,Katrin,Johnson,38,M,F,130000,4,5,High Schoo,Management,1,4,Colma,ND,58459,4
280,Sven,Anderson,42,M,M,10000,2,2,High Schoo,Manual,1,1,Downey,ND,58095,4
281,Ella,Larson,69,M,F,90000,5,0,Bachelors,Management,1,2,Bellflower,ND,58813,4
282,Ella,Carlson,35,S,F,50000,0,0,Partial Co,Skilled Manual,0,2,Minneapolis,MN,55402,3
283,Carl,Olson,75,S,M,10000,1,0,Graduate D,Clerical,0,0,Burlingame,ND,58061,4
284,Sven,Carlson,38,S,M,60000,0,0,Graduate D,Professional,0,1,Chula Vista,ND,58770,4
285,Inga,Carlson,44,M,F,50000,3,3,Bachelors,Skilled Manual,1,3,Berkeley,ND,58458,4
286,Katrin,Hanson,37,M,F,110000,0,5,Partial Co,Management,1,3,Lake Oswego,SD,57468,1
287,Ole,Carlson,50,S,M,20000,1,1,Partial Co,Manual,1,0,Millington,IN,46975,5
288,Erik,Larson,53,M,M,70000,2,1,Partial Co,Professional,0,0,Sunrise,WI,53828,5
289,Inga,Olson,37,S,F,70000,0,0,Partial Co,Professional,1,2,Lemon Grove,ND,58626,4
290,Sven,Johnson,41,M,M,40000,0,0,Graduate D,Clerical,1,0,Spring Valley,ND,58478,4
291,John,Larson,46,S,M,80000,4,3,Partial Co,Professional,1,1,San Gabriel,ND,58642,4
292,Kirsten,Olson,65,S,F,50000,5,0,Bachelors,Management,0,2,Burbank,ND,58114,4
293,John,Hanson,55,M,M,110000,3,4,Partial Co,Professional,1,4,San Francisco,ND,58261,4
294,Sven,Larson,65,M,M,40000,4,0,High Schoo,Professional,1,2,Hooksett,MT,59625,2
295,Kirsten,Hanson,55,M,F,20000,3,0,Partial Hi,Clerical,1,2,Ballard,MN,56179,1
296,Erik,Carlson,60,M,M,40000,5,0,High Schoo,Professional,1,2,Imperial Beach,ND,58243,4
297,Inga,Johnson,38,S,F,60000,1,0,Graduate D,Skilled Manual,0,0,Concord,ND,58455,4
298,Hans,Larson,45,M,M,40000,0,0,High Schoo,Skilled Manual,1,1,Kennewick,MN,55445,1
299,Inga,Larson,71,S,F,170000,1,2,Graduate D,Management,1,4,Chula Vista,ND,58419,4
300,Kirsten,Anderson,31,S,F,70000,0,0,Partial Co,Professional,1,2,Lemon Grove,ND,58355,4
301,Ole,Johnson,67,M,M,50000,2,0,Graduate D,Management,1,1,Colma,ND,58028,4
302,Ella,Carlson,63,M,F,120000,5,5,High Schoo,Management,1,4,St. Louis,NE,69029,0
303,Kirsten,Hanson,47,S,F,10000,1,0,Graduate D,Manual,0,0,Burlingame,ND,58820,4
304,Kirsten,Anderson,42,M,F,60000,2,2,Bachelors,Professional,1,1,Grossmont,ND,58642,4
305,Katrin,Olson,54,S,F,120000,2,4,High Schoo,Professional,1,4,Las Cruces,MT,59541,4
306,Inga,Johnson,55,S,F,20000,1,0,Bachelors,Clerical,1,0,Concord,ND,58761,4
307,Ingrid,Carlson,53,M,F,120000,2,4,High Schoo,Professional,0,4,Everett,MN,55616,1
308,Carl,Anderson,67,S,M,70000,5,0,Bachelors,Management,1,2,Lincoln Acres,ND,58305,4
309,Ole,Anderson,34,S,M,30000,0,0,High Schoo,Skilled Manual,0,2,Chula Vista,ND,58626,4
310,Kirsten,Olson,66,M,F,70000,5,1,High Schoo,Professional,1,2,Colma,ND,58346,4
311,John,Olson,52,S,M,40000,1,0,Partial Co,Clerical,0,1,Concord,ND,58482,4
312,Inga,Hanson,57,S,F,120000,3,5,Bachelors,Management,0,3,Colma,ND,58014,4
313,Ella,Carlson,41,M,F,90000,1,0,Graduate D,Management,1,0,Monroe,MN,55657,1
314,Katrin,Larson,47,M,F,70000,0,0,Bachelors,Professional,1,2,Riverton,UT,84065,0
315,Kirsten,Olson,38,M,F,100000,3,2,Partial Co,Professional,1,4,Bellingham,MN,55811,1
316,Katrin,Carlson,65,S,F,40000,5,0,High Schoo,Professional,1,3,San Diego,ND,58673,4
317,John,Larson,38,M,M,30000,0,0,High Schoo,Manual,1,1,San Jose,ND,58386,4
318,Inga,Johnson,72,M,F,170000,1,1,Graduate D,Management,1,4,Alpine,ND,58054,4
319,Katrin,Johnson,47,M,F,70000,0,0,Bachelors,Professional,1,1,Bellflower,ND,58334,4
320,John,Larson,50,S,M,90000,1,0,Bachelors,Professional,0,1,Concord,ND,58698,4
321,John,Carlson,73,S,M,70000,4,0,Graduate D,Management,0,2,Glendale,ND,58484,4
322,John,Anderson,57,M,M,50000,3,0,Graduate D,Management,1,2,Milwaukie,SD,57632,1
323,Erik,Larson,38,M,M,50000,1,0,Graduate D,Skilled Manual,0,0,Beaverton,SD,57255,1
324,Ingrid,Anderson,63,S,F,50000,2,1,Bachelors,Management,1,1,Marysville,MN,56070,1
325,John,Larson,69,S,M,70000,5,0,Graduate D,Management,0,2,Chula Vista,ND,58441,4
326,Carl,Olson,55,S,M,130000,3,4,Partial Co,Professional,1,3,Chula Vista,ND,58566,4
327,John,Anderson,69,M,M,50000,3,0,Bachelors,Management,1,2,W. Linn,SD,57084,1
328,Erika,Carlson,73,M,F,50000,3,0,Graduate D,Management,1,2,Index,MN,56522,1
329,Hans,Carlson,44,M,M,40000,0,0,Bachelors,Skilled Manual,1,0,Beaverton,SD,57543,1
330,Ella,Johnson,49,M,F,10000,1,0,Bachelors,Manual,0,0,Olympia,MN,55773,1
331,Ole,Larson,53,S,M,70000,2,1,Partial Co,Professional,1,0,Redmond,MN,55816,1
332,Erika,Carlson,91,S,F,10000,3,0,Graduate D,Clerical,0,2,Chula Vista,ND,58550,4
333,Sven,Larson,40,M,M,50000,1,1,Bachelors,Skilled Manual,1,1,Charlotte,ND,58278,5
334,Ole,Johnson,69,S,M,60000,3,0,Graduate D,Management,1,2,Columbus,OH,43215,3
335,Kirsten,Olson,33,S,F,120000,0,5,Partial Hi,Professional,0,4,Tacoma,MN,55722,1
336,Kirsten,Carlson,66,M,F,50000,4,0,Bachelors,Management,1,2,Concord,ND,58548,4
337,Ella,Olson,54,M,F,70000,4,3,Partial Co,Professional,1,0,City Of Commerce,ND,58750,4
338,Ingrid,Larson,32,S,F,40000,0,0,High Schoo,Skilled Manual,0,2,Van Nuys,ND,58296,4
339,Carl,Hanson,48,M,M,20000,1,0,Graduate D,Clerical,0,0,Burlingame,ND,58735,4
340,Kirsten,Olson,53,M,F,30000,2,0,High Schoo,Skilled Manual,1,2,Chicago,IL,60610,3
341,Carl,Carlson,43,S,M,40000,0,0,Bachelors,Clerical,0,0,Boston,WY,82732,2
342,Ella,Larson,42,S,F,60000,2,2,Bachelors,Professional,1,1,Yakima,MN,55264,1
343,Carl,Hanson,45,M,M,50000,3,3,Bachelors,Skilled Manual,1,2,San Gabriel,ND,58131,4
344,Inga,Olson,38,S,F,100000,0,5,High Schoo,Management,1,3,El Cajon,ND,58715,4
345,Carl,Carlson,40,M,M,100000,0,5,High Schoo,Management,0,4,Billings,MT,59101,0
346,Erik,Hanson,41,S,M,90000,2,0,Bachelors,Professional,0,0,Clearwater,WI,54828,5
347,Ingrid,Johnson,63,S,F,70000,4,1,Bachelors,Management,0,1,Burbank,ND,58804,4
348,Erika,Larson,36,S,F,20000,0,0,Partial Hi,Manual,1,2,Corvallis,SD,57406,1
349,Ingrid,Carlson,50,S,F,100000,0,3,Partial Co,Professional,1,2,Mosinee,WI,54455,0
350,Carl,Hanson,51,M,M,70000,1,0,Graduate D,Professional,1,1,Salem,SD,57304,1
351,Ella,Olson,48,M,F,10000,1,0,Graduate D,Manual,1,0,Santa Cruz,ND,58147,4
352,Ella,Anderson,41,S,F,80000,4,4,Graduate D,Management,0,0,Lebanon,SD,57437,1
353,Hans,Larson,50,S,M,70000,5,4,Partial Co,Skilled Manual,0,3,Bellingham,MN,55853,1
354,Ella,Anderson,53,M,F,10000,1,0,Partial Co,Manual,1,0,Mill Valley,ND,58384,4
355,Ole,Hanson,62,M,M,90000,4,1,High Schoo,Management,1,4,Bellevue,MN,56530,1
356,Kirsten,Anderson,52,S,F,70000,5,4,Graduate D,Professional,0,1,Issaquah,MN,55159,1
357,Erik,Olson,60,S,M,50000,2,1,Partial Co,Professional,0,2,Issaquah,MN,55188,1
358,Erika,Carlson,62,M,F,40000,2,1,High Schoo,Professional,1,2,Phoenix,IL,62976,4
359,Inga,Johnson,58,S,F,50000,2,1,High Schoo,Professional,0,2,Burbank,ND,58036,4
360,Inga,Johnson,58,S,F,50000,2,1,High Schoo,Professional,0,2,Burbank,ND,58658,4
361,Erika,Carlson,58,S,F,50000,2,1,High Schoo,Professional,0,2,Burbank,ND,58453,4
362,Carl,Larson,34,S,M,20000,0,0,Partial Hi,Manual,0,1,Kirkland,MN,56225,1
363,Kirsten,Hanson,51,S,F,90000,2,0,Bachelors,Professional,0,1,Concord,ND,58145,4
364,Ella,Larson,72,S,F,50000,3,0,Graduate D,Management,1,2,Olympia,MN,56384,1
365,Katrin,Anderson,31,M,F,10000,0,0,Partial Co,Manual,1,1,Long Beach,ND,58399,4
366,Sven,Johnson,43,S,M,50000,0,0,Graduate D,Skilled Manual,0,0,Everett,MN,55749,1
367,Ole,Johnson,44,M,M,50000,3,3,Bachelors,Skilled Manual,1,1,Bothell,MN,56678,1
368,John,Anderson,44,S,M,50000,0,0,Graduate D,Skilled Manual,1,0,Portland,SD,57076,1
369,Sven,Larson,52,M,M,50000,4,0,Graduate D,Skilled Manual,1,0,Colma,ND,58048,4
370,Carl,Olson,38,M,M,60000,0,0,Graduate D,Professional,1,1,Marysville,MN,56086,1
371,Hans,Johnson,33,S,M,10000,1,1,High Schoo,Manual,1,0,Michigan City,MT,59632,3
372,Erik,Hanson,57,S,M,90000,4,1,Partial Co,Professional,1,2,San Francisco,ND,58107,4
373,Ella,Larson,50,M,F,80000,5,4,Partial Co,Professional,0,4,Concord,ND,58505,4
374,Carl,Hanson,54,M,M,40000,1,0,Partial Co,Clerical,1,1,Colma,ND,58449,4
375,Carl,Johnson,38,M,M,70000,5,0,Graduate D,Professional,1,0,San Gabriel,ND,58764,4
376,John,Anderson,40,S,M,40000,1,0,Bachelors,Skilled Manual,1,0,Olympia,MN,55172,1
377,Sven,Carlson,44,S,M,120000,0,0,Graduate D,Management,1,3,Park City,UT,84098,0
378,Ella,Carlson,49,M,F,40000,4,3,High Schoo,Skilled Manual,1,3,Beverly Hills,ND,58615,4
379,Carl,Anderson,37,S,M,50000,1,0,Graduate D,Skilled Manual,1,0,Lynnwood,MN,56516,1
380,Ingrid,Larson,67,S,F,100000,2,3,Graduate D,Management,1,3,Colma,ND,58108,4
381,Carl,Hanson,40,S,M,110000,3,2,Bachelors,Management,1,4,Burbank,ND,58732,4
382,Katrin,Anderson,40,S,F,110000,3,2,Bachelors,Management,1,4,Burbank,ND,58545,4
383,Ella,Larson,51,S,F,40000,1,0,Partial Co,Clerical,1,1,Lynnwood,MN,55601,1
384,Inga,Larson,45,S,F,50000,3,3,Bachelors,Skilled Manual,0,3,Beverly Hills,ND,58045,4
385,Erik,Larson,38,M,M,50000,0,0,Graduate D,Skilled Manual,0,0,Concord,ND,58343,4
386,Hans,Olson,46,M,M,10000,3,2,Partial Hi,Manual,1,2,Modesto,ND,58177,4
387,Ella,Hanson,74,M,F,60000,2,0,Graduate D,Management,1,2,Cincinnati,OH,45202,3
388,Ole,Carlson,40,M,M,20000,2,2,High Schoo,Manual,0,1,Bremerton,MN,55391,1
389,Erik,Anderson,43,M,M,40000,4,3,High Schoo,Skilled Manual,1,2,Kittery,WY,82274,2
390,Erika,Larson,54,M,F,60000,2,1,Partial Co,Professional,1,1,Issaquah,MN,56041,1
391,Erika,Johnson,47,S,F,10000,3,2,Partial Hi,Manual,1,2,Beaverton,SD,57456,1
392,John,Carlson,33,S,M,40000,0,0,High Schoo,Skilled Manual,1,2,Colma,ND,58036,4
393,Kirsten,Olson,55,S,F,40000,1,0,Partial Co,Clerical,0,1,Canoga Park,ND,58634,4
394,Ole,Anderson,43,M,M,50000,0,0,Partial Co,Skilled Manual,1,1,Salem,SD,57536,1
395,Carl,Olson,33,S,M,30000,0,0,Partial Co,Clerical,1,1,Berkeley,ND,58327,4
396,John,Olson,51,S,M,90000,1,0,Bachelors,Professional,1,1,Newport Beach,ND,58085,4
397,Carl,Hanson,38,M,M,40000,2,2,Partial Co,Clerical,1,0,Chula Vista,ND,58439,4
398,Ole,Larson,65,M,M,30000,2,1,Partial Hi,Skilled Manual,0,2,Index,MN,56531,1
399,Inga,Johnson,31,M,F,20000,4,4,High Schoo,Manual,1,3,Downey,ND,58578,4
400,Carl,Larson,43,M,M,10000,1,0,Bachelors,Manual,1,0,Grossmont,ND,58730,4
401,Kirsten,Larson,39,S,F,50000,1,1,Graduate D,Skilled Manual,0,0,Spokane,MN,56456,1
402,John,Larson,43,M,M,40000,4,3,High Schoo,Skilled Manual,1,3,Marysville,MN,55127,1
403,Sven,Olson,55,M,M,90000,2,1,High Schoo,Professional,0,1,Burlingame,ND,58813,4
404,Katrin,Johnson,66,S,F,40000,4,0,High Schoo,Professional,1,2,Ferguson,NE,68224,0
405,Kirsten,Anderson,46,M,F,70000,5,4,Graduate D,Professional,1,0,Salem,SD,57760,1
406,Ella,Larson,51,M,F,30000,1,0,Graduate D,Clerical,1,0,Lacey,MN,56022,1
407,Sven,Olson,30,M,M,10000,0,0,Partial Co,Manual,1,1,Downey,ND,58043,4
408,Erik,Hanson,43,S,M,50000,0,0,Partial Co,Skilled Manual,0,1,Colma,ND,58776,4
409,Kirsten,Larson,33,M,F,50000,0,0,Partial Co,Skilled Manual,0,2,Orlando,WI,53587,5
410,Ole,Johnson,43,M,M,70000,5,5,Bachelors,Professional,1,3,La Jolla,ND,58358,4
411,Erika,Hanson,38,S,F,90000,0,0,Partial Hi,Professional,1,3,El Cajon,ND,58163,4
412,Kirsten,Anderson,42,M,F,80000,5,5,Bachelors,Professional,1,4,Torrance,ND,58798,4
413,Inga,Hanson,68,M,F,40000,2,0,Bachelors,Management,1,2,New Hartford,MN,55908,2
414,Sven,Larson,40,S,M,50000,1,1,Bachelors,Skilled Manual,1,0,Oakland,ND,58327,4
415,John,Olson,33,M,M,100000,0,5,High Schoo,Management,1,4,Woodland Hills,ND,58285,4
416,John,Carlson,45,M,M,30000,2,2,Partial Co,Clerical,1,1,Berkeley,ND,58183,4
417,Inga,Hanson,52,M,F,130000,2,3,Bachelors,Management,1,4,Clarkston,WY,82843,5
418,Ella,Carlson,47,M,F,60000,3,2,Bachelors,Professional,0,2,Torrance,ND,58407,4
419,John,Larson,35,S,M,60000,0,0,Partial Hi,Skilled Manual,0,3,Biloxi,NE,68830,5
420,Ella,Johnson,35,M,F,70000,5,5,Graduate D,Professional,1,2,Puyallup,MN,56173,1
421,Ole,Olson,34,S,M,50000,0,0,Partial Co,Skilled Manual,0,1,Colma,ND,58063,4
422,Inga,Johnson,52,S,F,40000,2,0,Partial Co,Clerical,0,1,Ballard,MN,56631,1
423,Carl,Hanson,42,S,M,110000,1,1,Graduate D,Management,0,2,Irving,OH,44897,4
424,Ingrid,Olson,56,S,F,50000,2,1,Partial Co,Professional,0,2,Glendale,ND,58440,4
425,Inga,Anderson,58,M,F,90000,4,1,Partial Co,Professional,1,2,Lynnwood,MN,55106,1
426,John,Anderson,50,S,M,60000,1,0,Partial Co,Skilled Manual,0,1,Port Huron,WY,82576,0
427,Erika,Olson,48,M,F,100000,3,2,Partial Co,Professional,1,4,Concord,ND,58649,4
428,Ole,Hanson,35,M,M,10000,0,0,Partial Hi,Manual,1,2,Corvallis,SD,57090,1
429,Hans,Carlson,41,M,M,70000,5,0,Graduate D,Professional,1,0,Oregon City,SD,57796,1
430,John,Anderson,35,M,M,20000,0,0,Partial Co,Manual,1,1,Burlingame,ND,58486,4
431,Carl,Olson,43,S,M,50000,0,0,Graduate D,Skilled Manual,1,0,Woodburn,SD,57747,1
432,Ole,Anderson,59,S,M,50000,2,1,High Schoo,Professional,1,2,Bellingham,MN,55646,1
433,Erik,Anderson,32,M,M,30000,4,4,Partial Co,Clerical,1,2,Bremerton,MN,55780,1
434,Ingrid,Olson,47,S,F,40000,1,0,Partial Co,Clerical,1,1,Colma,ND,58767,4
435,John,Anderson,38,M,M,40000,4,4,Partial Co,Clerical,1,2,Beaverton,SD,57218,1
436,Erik,Anderson,37,M,M,70000,0,0,Partial Co,Professional,1,2,Colma,ND,58299,4
437,Erika,Larson,54,M,F,40000,1,0,Partial Co,Clerical,1,1,Chula Vista,ND,58169,4
438,Erik,Hanson,43,M,M,30000,1,1,Bachelors,Clerical,1,1,Santa Monica,ND,58751,4
439,Katrin,Olson,38,M,F,40000,0,0,Bachelors,Clerical,1,0,Bellflower,ND,58678,4
440,Erika,Larson,42,S,F,110000,2,1,Graduate D,Management,1,3,Portland,SD,57602,1
441,Ella,Olson,61,S,F,30000,3,0,Partial Co,Clerical,0,2,La Marque,OH,45794,4
442,Ole,Olson,49,S,M,90000,2,1,Partial Co,Professional,0,1,Colma,ND,58334,4
443,Kirsten,Larson,45,S,F,20000,2,2,High Schoo,Manual,0,2,Peoria,IL,61606,3
444,John,Anderson,47,S,M,60000,3,2,Graduate D,Professional,0,0,Beverly Hills,ND,58286,4
445,Erik,Olson,47,M,M,90000,4,1,Partial Co,Professional,1,2,Woodland Hills,ND,58211,4
446,Ella,Johnson,60,S,F,110000,4,5,Partial Co,Management,0,2,Gold Bar,MN,56082,1
447,Ella,Johnson,51,S,F,80000,5,0,Graduate D,Professional,1,0,Kittery,WY,82151,2
448,Ingrid,Olson,39,M,F,130000,0,5,Partial Hi,Management,1,4,Lynnwood,MN,55709,1
449,Kirsten,Carlson,50,S,F,50000,1,0,Partial Co,Skilled Manual,1,1,Lebanon,SD,57074,1
450,Kirsten,Larson,41,S,F,70000,0,0,Bachelors,Professional,0,1,Chandler,IL,61229,4
451,Erik,Larson,72,M,M,50000,2,0,Graduate D,Management,1,1,Seattle,MN,55466,1
452,Inga,Hanson,38,M,F,40000,4,4,Partial Co,Clerical,1,2,Woodburn,SD,57369,1
453,Kirsten,Olson,65,S,F,20000,4,0,High Schoo,Skilled Manual,0,2,Walla Walla,MN,55776,1
454,Ingrid,Johnson,57,S,F,20000,2,0,High Schoo,Manual,0,2,Palo Alto,ND,58205,4
455,John,Carlson,43,M,M,120000,0,1,Bachelors,Management,1,4,Miami,WI,54377,5
456,John,Olson,33,M,M,10000,1,1,High Schoo,Manual,1,0,Downey,ND,58554,4
457,Ella,Carlson,48,S,F,70000,5,4,Partial Co,Professional,0,3,Surprise,IL,61636,4
458,Katrin,Carlson,65,M,F,60000,4,0,Bachelors,Management,0,2,Colma,ND,58017,4
459,Ole,Olson,41,M,M,30000,2,2,Partial Co,Clerical,1,2,Santa Monica,ND,58397,4
460,Ella,Carlson,34,M,F,40000,0,0,High Schoo,Skilled Manual,0,2,Colma,ND,58649,4
461,Kirsten,Hanson,65,M,F,40000,4,0,High Schoo,Professional,1,2,Atlanta,WY,82033,5
462,Erik,Larson,34,M,M,30000,0,0,Partial Co,Clerical,1,1,Kirkland,MN,56086,1
463,Ella,Carlson,45,M,F,20000,2,2,High Schoo,Manual,1,0,Bellflower,ND,58465,4
464,Ole,Johnson,41,M,M,40000,0,0,Graduate D,Clerical,0,0,Los Angeles,ND,58712,4
465,Ingrid,Anderson,49,S,F,40000,4,3,High Schoo,Skilled Manual,0,3,Redmond,MN,56310,1
466,Katrin,Hanson,53,M,F,50000,2,0,Partial Hi,Skilled Manual,1,2,Oregon City,SD,57221,1
467,John,Anderson,34,S,M,30000,0,0,High Schoo,Skilled Manual,1,2,Seattle,MN,55767,1
468,Katrin,Carlson,37,S,F,10000,0,0,Partial Hi,Manual,1,2,Olympia,MN,56051,1
469,Ole,Larson,61,M,M,50000,2,1,Partial Co,Professional,1,2,Glendale,ND,58169,4
470,Erik,Carlson,45,M,M,20000,2,2,High Schoo,Manual,1,1,Bremerton,MN,56393,1
471,Inga,Larson,40,M,F,60000,1,0,Graduate D,Professional,0,0,Bothell,MN,56083,1
472,Hans,Johnson,68,S,M,80000,5,0,Bachelors,Management,0,2,Burlingame,ND,58799,4
473,Inga,Anderson,35,S,F,40000,0,0,High Schoo,Skilled Manual,1,2,W. Linn,SD,57057,1
474,Erik,Olson,71,S,M,90000,5,0,Bachelors,Management,0,2,Colma,ND,58113,4
475,Erik,Johnson,34,S,M,70000,0,0,High Schoo,Management,0,2,National City,ND,58849,4
476,Carl,Carlson,49,S,M,10000,1,1,High Schoo,Manual,1,0,Burien,MN,56314,1
477,Hans,Hanson,33,M,M,30000,0,0,Partial Hi,Clerical,1,2,Kenmore,MN,56432,1
478,Carl,Johnson,56,M,M,40000,3,0,Partial Hi,Clerical,1,2,Duvall,MN,56398,1
479,Kirsten,Hanson,40,S,F,50000,1,1,Bachelors,Skilled Manual,0,1,Lynnwood,MN,56487,1
480,Kirsten,Johnson,48,M,F,90000,2,1,Partial Co,Professional,1,1,Mcdonough,WY,82459,5
481,Carl,Olson,40,S,M,100000,0,5,Partial Hi,Professional,0,4,Billings,MT,59101,0
482,Ella,Anderson,38,M,F,50000,1,1,Graduate D,Skilled Manual,1,0,Lakewood,ND,58777,4
483,Erik,Carlson,54,S,M,70000,3,0,Partial Co,Professional,0,2,Oakland,ND,58183,4
484,Katrin,Johnson,33,S,F,60000,1,0,Graduate D,Professional,1,0,Everett,MN,55898,1
485,John,Hanson,49,S,M,50000,2,0,Partial Hi,Skilled Manual,0,2,Issaquah,MN,55895,1
486,Hans,Olson,42,M,M,110000,1,1,Graduate D,Management,0,3,Burbank,OH,44214,3
487,Ingrid,Larson,53,M,F,70000,2,1,Partial Co,Professional,1,0,Tampa,WI,54373,5
488,Inga,Carlson,66,S,F,80000,5,0,Bachelors,Management,1,2,Lake Oswego,SD,57044,1
489,Kirsten,Johnson,38,S,F,50000,1,1,Graduate D,Skilled Manual,0,0,Mcdonough,WY,82584,5
490,Ingrid,Larson,66,S,F,30000,2,0,Partial Co,Clerical,0,2,Milwaukie,SD,57769,1
491,Ole,Anderson,44,M,M,40000,0,0,Bachelors,Skilled Manual,1,0,Bellflower,ND,58144,4
492,Carl,Carlson,33,M,M,50000,0,0,Partial Co,Skilled Manual,1,2,Coronado,ND,58707,4
493,Ingrid,Olson,50,S,F,40000,4,2,High Schoo,Skilled Manual,0,2,Lebanon,SD,57706,1
494,Kirsten,Larson,45,S,F,30000,2,2,Partial Co,Clerical,0,0,Carrollton,OH,43420,4
495,John,Johnson,33,S,M,50000,3,3,Bachelors,Skilled Manual,1,0,Everett,MN,55509,1
496,Kirsten,Anderson,38,S,F,10000,0,0,Partial Hi,Manual,0,2,Concord,ND,58310,4
497,Katrin,Olson,37,S,F,50000,0,0,Graduate D,Skilled Manual,1,0,Beaverton,SD,57781,1
498,Inga,Larson,49,M,F,40000,4,3,High Schoo,Skilled Manual,1,3,Redmond,MN,55898,1
499,John,Carlson,64,M,M,60000,4,0,Bachelors,Management,1,2,Citrus Heights,ND,58276,4
500,Inga,Johnson,73,S,F,130000,2,3,Bachelors,Management,0,4,Glendale,ND,58164,4
501,Inga,Johnson,66,M,F,70000,5,1,High Schoo,Professional,1,2,Anacortes,MN,55312,1
502,Ella,Hanson,59,M,F,30000,3,0,High Schoo,Skilled Manual,0,2,Sarasota,WI,54969,5
503,Carl,Johnson,42,S,M,70000,5,5,Bachelors,Professional,1,3,Yakima,MN,55131,1
504,Erik,Johnson,39,S,M,60000,1,0,Graduate D,Professional,0,0,Lincoln Acres,ND,58337,4
505,Kirsten,Johnson,51,S,F,70000,5,5,Graduate D,Professional,0,3,Bradenton,WI,53743,5
506,Ole,Larson,36,M,M,110000,0,5,Partial Co,Management,1,3,Gulfport,NE,69240,5
507,Kirsten,Anderson,34,M,F,30000,0,0,High Schoo,Skilled Manual,1,2,Salem,SD,57230,1
508,Ingrid,Larson,51,S,F,20000,3,0,Partial Hi,Manual,1,2,Chula Vista,ND,58270,4
509,Carl,Olson,75,S,M,40000,3,0,Partial Co,Professional,1,2,Lemon Grove,ND,58238,4
510,Inga,Anderson,59,M,F,70000,5,2,Partial Hi,Skilled Manual,1,2,Olympia,MN,55295,1
511,Erik,Anderson,31,S,M,20000,0,0,Partial Hi,Manual,1,2,Colma,ND,58270,4
512,Ingrid,Olson,60,S,F,50000,2,1,Partial Co,Professional,0,2,National City,ND,58345,4
513,Erik,Olson,55,S,M,30000,1,0,High Schoo,Clerical,0,1,Portland,SD,57274,1
514,Erik,Larson,67,M,M,90000,5,0,Bachelors,Management,1,2,Citrus Heights,ND,58253,4
515,Erik,Johnson,35,S,M,50000,0,0,High Schoo,Skilled Manual,0,2,San Diego,ND,58658,4
516,Carl,Larson,72,S,M,10000,2,0,Bachelors,Clerical,0,1,Concord,ND,58057,4
517,Katrin,Hanson,54,M,F,90000,2,1,Partial Co,Professional,1,1,Everett,MN,56690,1
518,Erik,Hanson,53,M,M,50000,1,0,Partial Co,Skilled Manual,0,1,Kenmore,MN,56527,1
519,Sven,Larson,63,M,M,50000,5,0,Bachelors,Management,1,3,Imperial Beach,ND,58143,4
520,Ole,Hanson,56,S,M,50000,2,0,Partial Hi,Skilled Manual,1,2,Duluth,MN,55802,3
521,Katrin,Olson,49,M,F,20000,1,1,Partial Co,Manual,1,0,Bell Gardens,ND,58314,4
522,Erik,Olson,50,M,M,40000,4,2,High Schoo,Skilled Manual,1,2,Walla Walla,MN,56704,1
523,Inga,Johnson,32,M,F,50000,0,0,Partial Co,Skilled Manual,1,1,Lakewood,ND,58855,4
524,John,Olson,48,M,M,10000,1,0,Graduate D,Manual,1,0,Concord,ND,58491,4
